sales_year,total_sales,prev_year_sales,yoy_growth_pct
2012,255203313.57,,
2013,258103792.82,255203313.57,1.14
2014,270587738.09,258103792.82,4.84
2015,284328572.11,270587738.09,5.08
2016,299447564.85,284328572.11,5.32
2017,314530044.81,299447564.85,5.04
2018,334216843.07,314530044.81,6.26
2019,349220341.63,334216843.07,4.49
2020,396663131.66,349220341.63,13.59
2021,428123535.4,396663131.66,7.93
2022,428780003.49,428123535.4,0.15
2023,446070662.52,428780003.49,4.03
2024,447235413.62,446070662.52,0.26
2025,424993437.64,447235413.62,-4.97
