sales_year,sales_month,total_sales
2012,1,15916194.22
2012,2,18116104.07
2012,3,18139545.75
2012,4,20004896.97
2012,5,22193521.24
2012,6,21858903.07
2012,7,20697363.78
2012,8,21531282.84
2012,9,18188453.15
2012,10,32713953.93
2012,11,19778514.92
2012,12,26064579.63
2013,1,17838850.12
2013,2,18258605.7
2013,3,18221543.54
2013,4,22162040.69
2013,5,22409324.58
2013,6,19734621.1
2013,7,22637646.59
2013,8,21552819.63
2013,9,19126692.82
2013,10,32145811.44
2013,11,17800949.64
2013,12,26214886.97
2014,1,20045932.62
2014,2,19183282.26
2014,3,19328906.11
2014,4,22639172.3
2014,5,20966264.2
2014,6,24429677.97
2014,7,21947352.74
2014,8,21170887.08
2014,9,23435552.56
2014,10,26542408.09
2014,11,20272759.74
2014,12,30625542.42
2015,1,18498508.31
2015,2,21224352.41
2015,3,23262369.71
2015,4,22857263.33
2015,5,22437370.96
2015,6,27089683.13
2015,7,22414165.5
2015,8,22116397.55
2015,9,24113360.17
2015,10,25913248.07
2015,11,23718715.06
2015,12,30683137.91
2016,1,19018055.36
2016,2,22801842.48
2016,3,23706446.34
2016,4,22667024.61
2016,5,25819176.16
2016,6,27338669.99
2016,7,21988265.62
2016,8,24471458.97
2016,9,25318593.87
2016,10,27311209.92
2016,11,26432734.84
2016,12,32574086.69
2017,1,20068372.86
2017,2,23086289.25
2017,3,25019491.26
2017,4,23176630.27
2017,5,28227485.87
2017,6,28626061.96
2017,7,25200614.71
2017,8,27647610.17
2017,9,24463707.55
2017,10,30779422.1
2017,11,26848928.02
2017,12,31385430.79
2018,1,22606806.94
2018,2,22861176.42
2018,3,24873041.23
2018,4,26214746.69
2018,5,30180818.39
2018,6,28574027.26
2018,7,26194368.03
2018,8,30507640.51
2018,9,23804290.69
2018,10,34609253.41
2018,11,28764343.45
2018,12,35026330.05
2019,1,23466782.59
2019,2,24641910.49
2019,3,24982728.36
2019,4,27788607.85
2019,5,32756773.27
2019,6,28877030.96
2019,7,30967399.69
2019,8,28424263.29
2019,9,28078111.23
2019,10,34448213.35
2019,11,30270164.51
2019,12,34518356.04
2020,1,24794498.26
2020,2,25720303.9
2020,3,31210733.11
2020,4,31987264.68
2020,5,32081114.18
2020,6,36007843.0
2020,7,34272654.2
2020,8,33722408.12
2020,9,36780839.35
2020,10,37465199.1
2020,11,31823796.14
2020,12,40796477.62
2021,1,28665659.86
2021,2,29617805.95
2021,3,36654828.86
2021,4,34734921.83
2021,5,33659554.94
2021,6,38890929.25
2021,7,35176467.62
2021,8,36501798.74
2021,9,35837061.02
2021,10,38085762.36
2021,11,38007977.91
2021,12,42290767.06
2022,1,27597708.3
2022,2,29474100.93
2022,3,30225874.55
2022,4,34781761.59
2022,5,35948167.34
2022,6,38614152.41
2022,7,33792893.14
2022,8,41374068.24
2022,9,36622693.61
2022,10,39688632.58
2022,11,37513438.63
2022,12,43146512.17
2023,1,32547784.89
2023,2,32114831.48
2023,3,36403505.9
2023,4,32884344.37
2023,5,39684933.97
2023,6,41194749.13
2023,7,35838999.87
2023,8,39788043.98
2023,9,35096963.96
2023,10,40281758.9
2023,11,39289673.49
2023,12,40945072.58
2024,1,32972812.84
2024,2,35101475.45
2024,3,34164169.29
2024,4,36385547.87
2024,5,39359095.65
2024,6,36769358.28
2024,7,37563557.73
2024,8,36529981.19
2024,9,34410490.22
2024,10,42691915.2
2024,11,40090042.22
2024,12,41196967.68
2025,1,31111677.66
2025,2,31308695.75
2025,3,33518798.61
2025,4,35499986.35
2025,5,35589683.49
2025,6,35946281.01
2025,7,36094242.39
2025,8,34213226.46
2025,9,35157772.73
2025,10,40047135.7
2025,11,34754507.22
2025,12,41751430.27
