category_name,bottles_2018,bottles_2024,share_2018,share_2024,share_change_pp
WHISKEY LIQUEUR,1470029,4607050,5.79,14.66,8.87
100% AGAVE TEQUILA,437565,1190675,1.72,3.79,2.07
AMERICAN SCHNAPPS,575400,1062207,2.26,3.38,1.12
STRAIGHT BOURBON WHISKIES,1157952,1731985,4.56,5.51,0.95
TEMPORARY & SPECIALTY PACKAGES,241017,568115,0.95,1.81,0.86
NEUTRAL GRAIN SPIRITS FLAVORED,11409,192053,0.04,0.61,0.57
IMPORTED DISTILLED SPIRITS SPECIALTY,175581,374910,0.69,1.19,0.5
COCKTAILS/RTD,479442,723678,1.89,2.3,0.41
AMERICAN DISTILLED SPIRITS SPECIALTY,20012,76053,0.08,0.24,0.16
BOTTLED IN BOND BOURBON,7356,44017,0.03,0.14,0.11
FLAVORED GIN,10151,47715,0.04,0.15,0.11
SINGLE BARREL BOURBON WHISKIES,15230,49976,0.06,0.16,0.1
IMPORTED CORDIALS & LIQUEURS,388617,509203,1.53,1.62,0.09
MEZCAL,4176,14496,0.02,0.05,0.03
AMERICAN SLOE GINS,3400,2795,0.01,0.01,0.0
IOWA DISTILLERY WHISKIES,2128,,0.01,,-0.01
AGED DARK RUM,40269,45871,0.16,0.15,-0.01
IOWA DISTILLERIES,5700,,0.02,,-0.02
CORN WHISKIES,9151,6027,0.04,0.02,-0.02
STRAIGHT RYE WHISKIES,102117,116737,0.4,0.37,-0.03
MIXTO TEQUILA,651339,784074,2.56,2.5,-0.06
NEUTRAL GRAIN SPIRITS,44526,37678,0.18,0.12,-0.06
TENNESSEE WHISKIES,619437,745365,2.44,2.37,-0.07
IRISH WHISKIES,296925,344800,1.17,1.1,-0.07
COFFEE LIQUEURS,106244,103743,0.42,0.33,-0.09
SPECIAL ORDER ITEMS,104792,101453,0.41,0.32,-0.09
TRIPLE SEC,189280,199499,0.74,0.63,-0.11
IMPORTED DRY GINS,192938,202594,0.76,0.64,-0.12
SINGLE MALT SCOTCH,83838,64625,0.33,0.21,-0.12
IMPORTED SCHNAPPS,299131,331295,1.18,1.05,-0.13
GOLD RUM,98167,70688,0.39,0.22,-0.17
CREAM LIQUEURS,363313,375760,1.43,1.2,-0.23
SCOTCH WHISKIES,228112,187042,0.9,0.6,-0.3
AMERICAN FLAVORED VODKA,903778,1020548,3.56,3.25,-0.31
AMERICAN VODKAS,5396352,6553425,21.24,20.86,-0.38
FLAVORED RUM,521294,465449,2.05,1.48,-0.57
AMERICAN DRY GINS,462427,343252,1.82,1.09,-0.73
IMPORTED FLAVORED VODKA,389686,245194,1.53,0.78,-0.75
BLENDED WHISKIES,875143,826171,3.44,2.63,-0.81
WHITE RUM,578911,449150,2.28,1.43,-0.85
AMERICAN BRANDIES,781776,697828,3.08,2.22,-0.86
IMPORTED BRANDIES,614954,418206,2.42,1.33,-1.09
SPICED RUM,1460001,1386903,5.75,4.41,-1.34
IMPORTED VODKAS,982222,720185,3.87,2.29,-1.58
CANADIAN WHISKIES,2837963,2985060,11.17,9.5,-1.67
AMERICAN CORDIALS & LIQUEURS,1170654,398783,4.61,1.27,-3.34
