county_rank,county,total_sales,store_cnt,sales_per_store,pct_of_statewide,cumulative_pct_of_statewide
1,POLK,1127604142.79,432,2610194.77,22.93,22.93
2,LINN,424586522.03,233,1822259.75,8.63,31.56
3,SCOTT,339657536.12,156,2177291.9,6.91,38.47
4,JOHNSON,288383386.63,122,2363798.25,5.86,44.33
5,BLACK HAWK,267204354.32,185,1444347.86,5.43,49.76
6,POTTAWATTAMIE,177515168.71,107,1659020.27,3.61,53.37
7,WOODBURY,169386213.97,77,2199820.96,3.44,56.82
8,STORY,145438737.35,91,1598227.88,2.96,59.77
9,DUBUQUE,144419375.44,96,1504368.49,2.94,62.71
10,DALLAS,124366097.33,62,2005904.8,2.53,65.24
11,CERRO GORDO,101148673.24,50,2022973.46,2.06,67.3
12,CLINTON,85849819.21,45,1907773.76,1.75,69.04
13,DICKINSON,67668013.19,32,2114625.41,1.38,70.42
14,DES MOINES,57282116.05,55,1041493.02,1.16,71.58
15,LEE,55506737.69,41,1353822.87,1.13,72.71
16,MARSHALL,54315274.95,42,1293220.83,1.1,73.82
17,WEBSTER,53279201.95,54,986651.89,1.08,74.9
18,MUSCATINE,52139939.01,53,983772.43,1.06,75.96
19,WARREN,45978099.89,46,999523.91,0.93,76.89
20,WAPELLO,45037839.44,34,1324642.34,0.92,77.81
21,CARROLL,38824872.29,30,1294162.41,0.79,78.6
22,MARION,36638411.05,30,1221280.37,0.74,79.34
23,JASPER,31182794.9,38,820599.87,0.63,79.98
24,BREMER,29835276.0,20,1491763.8,0.61,80.58
25,BOONE,29323942.12,29,1011170.42,0.6,81.18
26,BUENA VISTA,28768023.86,33,871758.3,0.58,81.77
27,HARDIN,28723923.34,24,1196830.14,0.58,82.35
28,SIOUX,28620455.06,45,636010.11,0.58,82.93
29,WASHINGTON,27478015.91,26,1056846.77,0.56,83.49
30,PLYMOUTH,26721817.53,21,1272467.5,0.54,84.03
31,KOSSUTH,26206136.44,19,1379270.34,0.53,84.57
32,CLAY,25582964.64,21,1218236.41,0.52,85.09
33,POWESHIEK,24132396.85,27,893792.48,0.49,85.58
34,WINNESHIEK,22613515.14,21,1076834.05,0.46,86.04
35,CRAWFORD,21730874.28,13,1671605.71,0.44,86.48
36,IOWA,20338981.34,32,635593.17,0.41,86.89
37,O'BRIEN,20332883.95,30,677762.8,0.41,87.31
38,JONES,20250466.31,21,964307.92,0.41,87.72
39,MAHASKA,20183948.82,25,807357.95,0.41,88.13
40,BUCHANAN,19661683.84,27,728210.51,0.4,88.53
41,HENRY,19554918.45,21,931186.59,0.4,88.93
42,FAYETTE,19439116.92,35,555403.34,0.4,89.32
43,PAGE,19147490.19,19,1007762.64,0.39,89.71
44,CASS,19006863.11,17,1118050.77,0.39,90.1
45,JACKSON,19001788.96,23,826164.74,0.39,90.48
46,FLOYD,18563096.67,22,843777.12,0.38,90.86
47,UNION,16987311.98,15,1132487.47,0.35,91.21
48,DELAWARE,16566204.1,15,1104413.61,0.34,91.54
49,JEFFERSON,16216466.02,14,1158319.0,0.33,91.87
50,BENTON,16072588.65,30,535752.95,0.33,92.2
51,HAMILTON,14223106.16,21,677290.77,0.29,92.49
52,APPANOOSE,13542227.24,13,1041709.79,0.28,92.76
53,ALLAMAKEE,13503719.76,20,675185.99,0.27,93.04
54,SHELBY,13424046.32,11,1220367.85,0.27,93.31
55,MADISON,13259460.95,12,1104955.08,0.27,93.58
56,HOWARD,12346929.55,13,949763.81,0.25,93.83
57,HUMBOLDT,12309716.7,9,1367746.3,0.25,94.08
58,LYON,12231090.9,21,582432.9,0.25,94.33
59,CLARKE,11760749.26,13,904673.02,0.24,94.57
60,CHEROKEE,11749173.02,14,839226.64,0.24,94.81
61,WINNEBAGO,11664383.37,15,777625.56,0.24,95.05
62,TAMA,11591789.04,21,551989.95,0.24,95.28
63,PALO ALTO,11439474.85,16,714967.18,0.23,95.51
64,MONTGOMERY,11213507.95,11,1019409.81,0.23,95.74
65,WRIGHT,11003539.04,23,478414.74,0.22,95.97
66,CLAYTON,10689841.01,31,344833.58,0.22,96.18
67,CEDAR,10626951.19,23,462041.36,0.22,96.4
68,SAC,9804146.28,19,516007.7,0.2,96.6
69,EMMET,9613383.33,8,1201672.92,0.2,96.79
70,IDA,8937931.69,9,993103.52,0.18,96.98
71,HARRISON,8884659.53,13,683435.35,0.18,97.16
72,MONONA,8749353.32,9,972150.37,0.18,97.33
73,MILLS,8725632.54,18,484757.36,0.18,97.51
74,GREENE,8457726.4,9,939747.38,0.17,97.68
75,LUCAS,8127963.05,9,903107.01,0.17,97.85
76,FRANKLIN,7783198.88,19,409642.05,0.16,98.01
77,CHICKASAW,7114855.99,14,508204.0,0.14,98.15
78,MITCHELL,6847915.99,11,622537.82,0.14,98.29
79,GUTHRIE,6591431.06,13,507033.16,0.13,98.43
80,ADAIR,6578038.27,14,469859.88,0.13,98.56
81,HANCOCK,6530659.38,9,725628.82,0.13,98.69
82,MONROE,5851028.45,7,835861.21,0.12,98.81
83,CALHOUN,5768935.52,21,274711.22,0.12,98.93
84,BUTLER,5371477.49,13,413190.58,0.11,99.04
85,POCAHONTAS,5322497.2,13,409422.86,0.11,99.15
86,GRUNDY,5102724.63,13,392517.28,0.1,99.25
87,WORTH,5030455.75,7,718636.54,0.1,99.35
88,OSCEOLA,4021231.65,6,670205.28,0.08,99.43
89,LOUISA,3740491.68,12,311707.64,0.08,99.51
90,KEOKUK,3076181.02,9,341797.89,0.06,99.57
91,VAN BUREN,2994682.34,11,272243.85,0.06,99.63
92,AUDUBON,2889476.22,5,577895.24,0.06,99.69
93,DECATUR,2874788.78,6,479131.46,0.06,99.75
94,RINGGOLD,2585385.5,3,861795.17,0.05,99.8
95,WAYNE,2509270.04,11,228115.46,0.05,99.85
96,ADAMS,2257099.23,4,564274.81,0.05,99.9
97,TAYLOR,1910755.74,6,318459.29,0.04,99.94
98,DAVIS,1661479.01,4,415369.75,0.03,99.97
99,FREMONT,1363186.02,4,340796.51,0.03,100.0
100,EL PASO,31.14,1,31.14,0.0,100.0
