category_name,transactions,mean_price,stddev_price,p25,median_price,p75
SINGLE MALT SCOTCH,16244,67.59,87.4,41.97,52.47,71.24
SINGLE BARREL BOURBON WHISKIES,7674,44.86,22.78,28.5,37.5,51.0
BOTTLED IN BOND BOURBON,7685,35.53,18.61,20.25,37.5,45.0
TEMPORARY & SPECIALTY PACKAGES,74009,44.18,60.85,24.74,31.26,56.25
MEZCAL,2809,33.89,15.89,23.25,30.0,38.25
STRAIGHT RYE WHISKIES,19504,37.4,33.42,23.1,28.01,37.47
FLAVORED GIN,5278,25.4,5.49,26.25,26.25,28.5
SCOTCH WHISKIES,30344,34.42,33.97,17.99,26.25,36.0
IRISH WHISKIES,32866,33.86,66.0,21.0,26.24,31.47
100% AGAVE TEQUILA,140407,34.97,27.25,22.5,26.1,42.0
IMPORTED DRY GINS,24065,26.02,7.57,21.74,23.99,29.25
IMPORTED CORDIALS & LIQUEURS,57883,24.9,9.78,18.66,23.73,30.0
AGED DARK RUM,7823,23.54,10.52,15.75,22.98,27.75
STRAIGHT BOURBON WHISKIES,206369,26.95,39.19,15.0,22.5,32.25
COFFEE LIQUEURS,11564,20.21,8.76,12.51,20.99,26.24
IMPORTED BRANDIES,38518,28.9,67.02,17.24,20.87,29.99
AMERICAN DISTILLED SPIRITS SPECIALTY,8129,19.22,6.41,13.38,19.52,22.49
CORN WHISKIES,1030,24.7,10.99,13.5,19.2,32.25
CREAM LIQUEURS,45789,20.7,12.14,14.25,18.75,24.74
MIXTO TEQUILA,55571,16.65,6.73,9.9,18.0,18.5
TENNESSEE WHISKIES,77600,22.84,11.63,16.5,17.25,24.0
IMPORTED SCHNAPPS,31979,16.58,5.5,13.34,16.88,20.99
NEUTRAL GRAIN SPIRITS FLAVORED,38161,16.54,3.03,13.13,16.5,19.5
CANADIAN WHISKIES,247039,18.22,14.14,9.0,15.0,26.24
IMPORTED VODKAS,57182,18.38,8.29,12.74,14.99,23.25
IMPORTED FLAVORED VODKA,28225,16.7,4.98,13.49,14.99,19.49
BLENDED WHISKIES,88701,16.91,35.68,8.27,14.39,20.99
SPICED RUM,95648,14.73,7.24,7.86,14.24,18.75
SPECIAL ORDER ITEMS,2142,18.56,17.62,9.99,14.0,22.05
NEUTRAL GRAIN SPIRITS,4549,15.01,4.18,13.5,13.5,13.5
FLAVORED RUM,46699,14.91,4.71,13.14,13.49,15.75
GOLD RUM,10478,14.25,5.78,12.0,13.14,17.97
AMERICAN CORDIALS & LIQUEURS,59728,31.54,32.09,7.26,13.13,77.4
COCKTAILS/RTD,83570,15.19,14.59,9.75,13.11,15.0
WHITE RUM,41591,12.57,5.05,8.31,12.39,14.25
AMERICAN FLAVORED VODKA,118943,13.22,10.3,10.88,12.38,13.52
AMERICAN SCHNAPPS,87879,32.57,33.34,7.88,11.81,77.4
AMERICAN DRY GINS,32019,12.22,8.9,6.33,11.63,15.74
AMERICAN VODKAS,403838,10.64,6.78,5.46,10.38,14.16
AMERICAN BRANDIES,54824,8.85,4.74,4.83,9.62,10.13
WHISKEY LIQUEUR,167908,16.94,19.39,6.45,9.0,21.51
AMERICAN SLOE GINS,529,8.45,0.39,8.54,8.54,8.54
IMPORTED DISTILLED SPIRITS SPECIALTY,9945,10.61,15.84,4.58,7.35,8.4
TRIPLE SEC,8237,4.14,1.55,3.5,3.75,4.14
